subject time RT
1 before 508
2 before 708
3 before 516
4 before 719
5 before 591
6 before 549
7 before 874
8 before 429
9 before 408
10 before 878
11 before 402
12 before 339
13 before 606
14 before 576
15 before 697
16 before 678
17 before 453
18 before 120
19 before 908
20 before 634
1 after 538
2 after 717
3 after 482
4 after 917
5 after 648
6 after 816
7 after 765
8 after 374
9 after 573
10 after 983
11 after 527
12 after 608
13 after 567
14 after 612
15 after 419
16 after 931
17 after 545
18 after 272
19 after 1097
20 after 776
